,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
4297,Gm4875,A430010J10Rik,Prpf19,Gm24656,Lor,Mien1,D130043K22Rik,Gm26206,Slc16a3,AC128672.1,Slc25a33,Cd300e,Sucnr1,Olfr170,1700010B08Rik,Pdzd8,Olfr443-ps1,Gm35572
4298,Dnah5,Ints4,Bloc1s3,Krba1,Gm36956,9430097D07Rik,Clba1,1700016H03Rik,Gm42964,BC055324,Tbl2,Atp6v1e2,Irs4,Vmn1r24,Coa5,Spag9,Nmi,Gm23582
4299,Prex1,1700025J12Rik,Lrch4,Gm2691,Gm12047,Mir6382,Gipr,Gm9967,Gm6062,Gm48085,Usp51,Thoc2,Nudt19,Cldn34b1,Il22,Pgrmc2,Prl7c1,Olfr130
4300,Gsta4,Scg5,Tnfrsf17,Stau2,Gm43923,Tex13b,Scamp1,Dhx40,Gm25579,Gm11398,Kdm6a,2410004P03Rik,Mfsd4b2-ps,Cyp2b9,Asmt,Gm27627,Gm47774,5730596B20Rik
4301,Gm44040,Gm15815,Lsm2,Rps19-ps8,Gm11510,Gm44573,Tmem114,Ttll1,Gm49204,Sag,Gm11510,Gm27934,Fscb,Olfr689,4930451I11Rik,Gripap1,Gm17359,Mif
4302,Rap1a-ps2,Gm16237,Gm12663,Gm18896,AC129188.2,Gm37493,Cspg5,4933404O12Rik,Gm43264,Dync1li1,Gm23336,Gm6994,Prr32,4932411N23Rik,Gm6034,Zfp131,Gm47095,Gm26709
4303,Gm17540,Plekhd1os,Majin,Gm43381,Chsy1,D030044L04Rik,Hrh2,Mir30c-1,Gm45047,Gm29290,Gm32031,9530020I12Rik,Prl2a1,Taar7d,Tal2,Dcc,Gm8258,Arrdc3
4304,Gm25703,Ncor2,Siglech,Gm47455,Gm18891,Gm16343,Gm14317,Gm39228,Gm15720,Ncoa2,Gm45869,C78334,Olfr668,Olfr1153,Defb25,Ppp1r26,Acoxl,Samd1
4305,Gm2981,Gm24368,Gm11573,Gm47926,Lpcat1,Hgs-1,Slc9a4,Chrna7,Trav14-2,Spag7,Gm12246,Gm43094,Vmn2r118,Olfr908,Prpmp5,Fbxl18,Vmn1r173,Gm45141
4306,E330009J07Rik,Gm26721,Gm14214,Galnt2,Gm46332,Apol11a,Cend1,Gm48853,Oas1g,Sirt6,Rpl9-ps8,AC131185.1,Phldb3,Vmn2r108,Steap4,Kcnk1,Krtap16-3,Gm26280
4307,Cav1,Gm45546,Sult2a8,2310005E17Rik,Arhgap28,0610009L18Rik,Kat6b,Rapgef6,Svs5,Elp6,Ppp1r3c,Pir,Nat8f7,Olfr502,Gimap3,Gm44571,n-R5s166,Gm28872
4308,Gm34672,Vdac3,Mzf1,Ivd,Dnah17,Gm43032,AC141471.6,Gm10248,Olfr151,Anks3,Gm26672,Ghdc,Olfr44,Olfr291,Krt84,Gm47005,Gm29781,Gm39094
4309,Tmx4,Ifitm7,Gm5045,Gm45224,Gm21115,Apoo,Slc27a3,Gm49645,Gm24029,Gm43154,Mturn,Gm37925,Mmp1b,Olfr1276,Trim43b,Stoml1,Ccdc146,Gm29994
4310,Cnpy1,Txn1,Gm14207,Npas2,Gm18717,4933405E24Rik,Sv2a,Fastk,Gm15910,Pisd-ps1,Tmem67,Nr2e3,Fam3b,Olfr827,Gla,Sox18,Cd163l1,Hccs
4311,Tarsl2,Gm28155,Vmn2r96,Gm14651,Utrn,Gm23248,5330431K02Rik,Phf20l1,Gimap5,Gm42745,Gpi1,Cdc42ep2,Olfr433,Olfr381,Ces1b,Sdcbp,Igfbp7,Gm9970
4312,Uhmk1,Gprasp2,Runx1,Gm49002,Olfr1111,Tpm1,Grap2,Tdrp,Olfr816,G3bp2,Pomgnt2,4933412O06Rik,Hist1h1a,Olfr1317,Snx6,Shc2,Ptdss1,Rfx5
4313,Gm25607,Get4,Cbx3-ps6,Olfr713,Dctn6,Gm21833,Gm15409,Gm16057,Mdk-ps1,Gm26868,Zfp78,Polr2g,Pate10,Olfr1110,Stap2,Vstm2b,Gm45554,Prrg1
4314,Recql,6330420H09Rik,Zfp683,Igsf21,Disp1,Gm12224,Nsmce4a,Zc3hav1l,Gm24565,Slit2,Ago4,Cfap65,Prss42,Cyp3a11,Adprh,Iars2,Gm23386,Stt3b
4315,Ajm1,Ep300,Lcn11,Ttc29,Ssu2,Gm26089,Gm27653,Lmnb2,Mir6970,Tmem205,Gm30400,Kdelc1,Olfr91,Defb42,Gtsf2,Gm44314,Ces2h,Trim5
4316,Podn,Pccb,n-R5s76,Gm28050,Ccdc150,Mir23a,Megf6,Gm45169,Olfr1023,Gm13749,C2cd4a,Dcaf12l1,Fbxw14,Mup12,Hyal6,Hist1h3a,Gm4373,Gm22068
4317,Gm18864,Mir6408,Gm45301,Gm18206,Hspa14,Satl1,Isyna1,Serpina3n,Gm47333,Pcsk2os1,Ccdc89,Gm12948,Gm21190,Olfr1061,Mtnr1b,Spcs3,Naa15,Gm23772
4318,Fgf23,Gm6517,Platr7,Gprc5a,Gm12678,Gm12973,Wdr61,Crebrf,Gm27554,Gm18943,Bambi,Gm9748,Sox3,Aldob,Mbd3l2,A830018L16Rik,Gm12643,Leo1
4319,Gorasp2,Gm12363,Vmn1r81,Fbxo40,Vil1,Naalad2,Gm44937,Rwdd3,Itih1,Bmpr1b,Adam12,Gm8556,Olfr531,9130023H24Rik,Tpm4,Kdm3a,Btbd35f2,Calb2
4320,Smad4,Gm10428,Gm2962,Tpst1,Gm45728,Gm6088,Ppp4r3b,Cpsf4l,Gm27855,Lactb,Gm47303,Gm12973,Serpinb9b,Gm5916,Dmrt2,Arf1,Helb,Gm24616
4321,A330040F15Rik,Gm21886,Tmem94,Fbxw21,Areg,Gm47054,Pak1,Mir7659,Gm28935,Gm49450,Hist1h2an,Gm5270,Mrpl50,Cyp4a30b,Dio2,Mir218-2,Mucl2,4921507P07Rik
4322,Prkar2a,Gm42205,Gm14230,Gm16725,Gm29168,Gm42931,2310015D24Rik,Pole3,5330437M03Rik,Zwint,Fbxo7,Ms4a4c,Rhox4f,Pdha2,Kcnj8,Telo2,Trim58,Olfr935
4323,Gm17213,Fam227a,Btbd17,Tmed10-ps,Agap3,Mir194-2,4930404N11Rik,AL607142.1,Gm47961,Eif4a2,Atp13a1,Zfp369,Olfr1386,Olfr1208,Clec4f,Gm16291,Gm16759,Mpv17l2
4324,Ccdc88a,Pdzd8,Zfp846,Dpp4,Nectin1,Gm43079,Gm38376,Gm35135,Gm24283,Rpl10a,Brd4,Gm22379,4930512M02Rik,Olfr628,Selenok,Srsf10,Gm23304,Gm41335
4325,Mir704,4732440D04Rik,Vmn2r-ps119,Vmn1r-ps17,Hps5,Pvrig,Grp,Gm48712,Gm24295,BB557941,Gpr139,Renbp,Gm3776,Olfr635,Nkap,Gm24859,Nsdhl,Gm26596
4326,Gm15738,Cgn,Gm42814,Gm13910,Eif2ak1,AC134906.1,Wdr54,6030458C11Rik,Krt18,Gm47338,Gm20485,Gm14113,Rhox5,Olfr1223,Nkx2-4,Gm47198,Gm47721,Gm13647
4327,Epha3,Tulp3,Gm28035,Cep63,Gm25757,Mir742,Tff3,Gm13210,Gm32098,Foxn3,Gm45255,Gm13183,Hsd11b2,Fam71a,Cyp4f37,1700095J12Rik,Gm48921,A230108P19Rik
4328,AC151292.1,Gm26546,Gm26714,Gm48096,Ehbp1,Sntn,Gm41168,Calr3,Gm37607,Gm45166,Btbd6,Gm42874,Mmp21,Olfr666,A630023A22Rik,Zfp697,Bet1,Gm13748
4329,Gm14486,Dnlz,A530065N20Rik,Gm49460,Evpl,Gm15899,Tbce,Wdr4,1700102H20Rik,Gm45747,Pla2g2f,Gm43627,Neurog3,Tex13c3,Snrpd1,Paqr6,Gm47342,Bag4
4330,A930002I21Rik,Mmp11,Gm43399,Exosc9,Gm45463,4930480E11Rik,Exoc3,Zfyve16,AC133607.4,Taf5,Gm38563,Atp5c1,Olfr1269,Olfr1311,Mcpt1,Hist2h3c2,Nlrp14,Gm44162
4331,Oit3,6820408C15Rik,Vmn2r51,Gm22685,A630010A05Rik,Gm43317,Gm46355,Pcdh19,Gm26047,Rtl5,Mknk2,Mir5621,Olfr823,Fbrs,Bmp10,BC085271,Gm14632,Gm9121
4332,Ccn3,Nme2,Gm22107,Gm6313,Rhog,Gm13052,Gm42745,Ints6l,Gm22170,Peak1,Actb,Rpl10l,Skint8,Podnl1,Cst13,AC141882.2,Gm21286,Gm11532
4333,Zfp663,Bnip3,Gm3219,Olfr1469,Mta1,Gm17828,Smap2,Klhdc2,Pf4,Vps13b,Pex26,Vmn1r195,Olfr1052,Cnn1,Apol9b,Gm47701,Gm41230,Gm23590
4334,Gm11365,Kyat1,Gm23631,Rapgef4os3,Cts3,Olfr110,Emx2,Vsig10l,Naip1,Gm33337,Ppifos,Mir6396,Clec4b2,Gm10375,Nemf,Gtpbp3,Bace2,Pfdn1
4335,3010001F23Rik,H1f0,Lman1l,Gm21663,Myh15,Brs3,Trpc3,Gm44544,Gm8836,Gm37942,Shmt1,Mfsd7a,Endod1,Defb18,Slc25a31,Thbs3,Gm44691,Cldn34c1
4336,Magee1,Gm37437,Gm47431,Pid1,Gm45228,Tcp1-ps1,Ptpn11,Gm26615,Gm25220,B3galnt2,Nup43,Adgre5,Vmn1r27,Ncr1,Gpr20,Plcg1,Gm14647,Mrps26
4337,Wfs1,Snhg7os,Trim62,Gm1600,Igfn1,Gm1140,Anxa6,Swi5,Gm8281,Kif13a,Gm24845,Spindoc,Olfr698,1700029P11Rik,Tm4sf19,Ogdhl,Olfr726,H2afj
4338,Gm37277,Pygo1,Gm18522,Btg2,Gm13860,Gm45607,Gm38122,Gm47116,Gm46436,Cacybp,Scrn2,Cdc6,Olfr971,Gm21761,Zfp87,Fjx1,Nupl2,AC090881.1
4339,Gm30648,Zcchc3,Ppp1r18os,Gm19235,Osbp2,Gm12023,Gm16339,Mir1962,Gm23143,Rnf115,Gm22927,AC154457.1,Olfr522,Ppp1ca,H2-M3,Gm48015,Sdha,Ankzf1
4340,Kdm6a,Stx2,Zbtb39,Gm25556,Gm12370,Gm14861,Rubcn,Anapc13,Gm8853,Srsf6,Trerf1,Pga5,Csf2ra,Trpc2,Tmem252,Rpl9-ps3,Gm47418,Il11ra2
4341,Mir6390,Gm47158,Gm5982,Gm24970,Cdon,Slc38a7,Gm15597,Slc25a47,Ripk4,Med26,Fuom,Gm48108,Lcn11,4930474N05Rik,Sowahd,Exd2,Ush1c,Gm38058
4342,Rnf166,Gm47438,Sp1,Gm45507,Gm17234,Klhl1,Gm16754,Galk1,Gm44596,Meaf6,Gm39662,Mall,Apol7c,Olfr967,Rtp4,Zfp426,Gm9249,Hoxc10
4343,Gm37586,Tubb6,Gngt2,Oc90,Olfr310,Gm26755,Mtg1,Gm23590,Dppa5c,Eif2ak4,Gm17750,Loxl4,Bex6,Olfr684,Fam24a,Gpr19,Gm42909,Gm45805
4344,Ubp1,1110060G06Rik,Gm45401,Crmp1,4930594O21Rik,Gm26243,Kazald1,Gm25545,4930407I10Rik,Ccdc124,Tmem42,Clpb,Fgf16,Krtap4-1,Mc3r,Rflna,Gm3189,Orai3
4345,Gm35584,Gm24340,Gm24890,Bet1,Gm4870,Gm37420,Nxf7,Mir6941,Gm16471,Gm25447,Mir29c,Izumo2,Nat8f3,Krt76,Ginm1,Gm10604,Hsd3b2,Pgp
4346,Gm22477,Inpp5e,Gm16303,Olfr235,Gm8492,Micall2,Cacfd1,Actr10,Gm17058,Rbm39,Ntrk2,Atad5,Tsx,Adad2,Spaar,5830405F06Rik,Gm41271,Thap12
4347,Gm27956,Zfp651,Pop4,6530411M01Rik,Gm8143,Dmtf1,BC006965,Cyc1,Gm45251,Unc5d,Impad1,BC049762,Skint10,Clec4d,Dgcr8,D030056L22Rik,Traf3ip1,Gm48565
4348,Ppil2,Gpr107,Gm47830,Dicer1,Mir3076,Gm19611,Hdhd3,Emc8,Gm43491,Pgap2,Gm47081,Gm26742,Dazap2,C130079G13Rik,Trim43a,Angptl6,Gm5564,Gm46350
4349,Tmem151b,Accsl,Gm3726,Dmrt1,Grb14,Gm3344,Spon1,Cib4,Gm49099,Kcnd2,Eri2,Plxna1,Hao2,Vmn2r85,Prss1,Gm11398,Gm10660,Gm24952
4350,Uchl1os,Gm17545,Hexa,Gm31510,Vax1,Gm26731,Gm16008,Arf4,Gm22014,Susd2,Pstk,Tmem189,Ppp1r14d,Mrgprb5,Vmn1r90,Gm12513,Gm45438,Plk3
4351,Edc4,Gm42656,A930031H19Rik,Gm45636,Gm29230,Gm48667,Inpp1,H3f3b,Gm30781,Lrrtm1,Rpl27a,AC165153.2,Pou4f3,Olfr1368,Stbd1,Gm13307,Gm26804,Gm11512
4352,Fbxl16,Wdr12,AC151987.1,Senp6,Gm12924,Apba2,Fbxl17,Pdlim7,Gm17066,9430038I01Rik,Jakmip2,2610028D06Rik,Cd248,Fbxw18,Gm1527,Gm25745,Vmn2r-ps94,Gm41071
4353,Sgcg,Slc25a35,Gm14521,CT025573.1,Gm24231,Atp5g1,Gm16333,Gm36503,Gm9472,Gm42927,Pdcd10,4930533D04Rik,Ambp,Lipo2,Olfr885,Sbds,Igkv3-3,Mir3060
4354,Fgf9,Clnkos,Cox4i2,Atg14,Gm26963,Psmd10,Kif26a,4932412D23Rik,Adgrg2,Abca8b,Gm2885,Ebf2,Akp3,Olfr557,Csta3,Gm25501,Gm7858,Mafa
4355,Arhgap18,Atp1b3,Minos1,Gm19194,Trpd52l3,Olfr1345-ps1,Npc2,Arhgap6,Tsg101-ps,Dok6,2210420H20Rik,Ppdpf,Fam216a,Ear14,Tfcp2,Sstr1,Tsfm,Gm6283
4356,Gm24733,Ywhae,Gm16372,Gm26897,Gm37944,Gm24840,Gm13000,Exoc2,Gm25483,Gm19617,Usp21,Cisd3,Rnase2a,Skint6,Foxo4,6430590A07Rik,Btbd35f22,Sp3
4357,Ermp1,Gm42938,Gm38362,Gm48328,AC102342.2,Rccd1,Gm11149,Fbxl2,Smarca5-ps,Mapre3,Msh6,Hps6,Olfr557,Prss58,Gab2,Herc4,Olfr553,Gm6741
4358,Kcnj12,Eif5b,Gm29536,Lmcd1,Srsf10,Slc36a2,Nr2f1,Patl1,Gm22986,Mrgbp,Gm8066,Gm38114,Prpmp5,Fam90a1a,Ccdc160,Kat5,Cryz,Lhx9
4359,Gm15843,Tmem108,Vmn2r98,Nfya,Gm20755,Slc13a4,Gm44891,Morn4,CT030729.1,Gm49389,Mir205,Rnf212b,Gabre,Hsd17b6,Kbtbd13,Rpl39-ps,Gm25240,Smn1
4360,Gm22085,Cct7,A630001G21Rik,Lamc1,Ap1g2,Gm14848,Mkrn1,Rps3a1,Gm2115,Trpc3,Ccn2,Rcn3,Cyp3a13,Cyth4,1810037I17Rik,Evi5l,Gm10693,Chst2
4361,Gm44027,Nat8l,Olfr694,Keg1,Cadm4,H2al1h,Gm4889,Nudt22,Dbx1,Bnip1,Birc6,Pcdhgb1,Olfr1496,Uqcrb,Rnf222,Atf6,Dennd1a,Gm47844
4362,Gm42639,Pkd1,Gm43372,Wnt9b,Atl2,Foxk1,Kmt2c,Tmem178,Gm15563,Ppil2,Gm31938,Cfd,Iqcf1,Utp11,Bhmt,Slc39a14,AC148983.1,Acadm
4363,Thrb,Glrx,Olfr133,Gm25623,Crim1,Sod1,Lrrc75aos2,Snora65,Pcdhb13,Lrpap1,Klhl15,Setd5,Olfr1202,Apol7c,Tubb6,Kdm5c,Gm20942,Gm28466
4364,Gm20070,Gin1,Vmn2r-ps124,Msl2,Myh9,Gm12229,Larp6,Pigo,Gm44824,Gm24530,Gas6,9330118I20Rik,Krtap20-2,Olfr527,Usp51,Wnk4,Klra1,Gm12731
4365,Rc3h1,A230050P20Rik,Tm4sf1,Aox4,Gm38291,Stkld1,Slamf1,Gm43914,Lcn12,Rhobtb3,Ap2a2,Lrrk1,Vmn2r124,Fam187b,Rmi2,Ctps,Rpl7a-ps10,2310015A10Rik
4366,Nrp1,Gm25772,Mindy1,Gm49749,Gm13217,Mir105,Cipc,Tmem121,4930478M09Rik,Gm19815,Fibp,Fut2,Cldn34b4,Fam25c,Foxf1,Ubxn1,Gm47807,Znrf4
4367,Gm24978,Rpl30-ps9,Galnt10,Gzmf,Stac,Rpl39,Pitpnb,Rbm15,Speer4cos,Lsm8,Gm35154,Fut8,Olfr995,Pabpc5,Gatad2b,Gm43417,Gm20234,Gm15050
4368,Gm43665,Fam149b,Tmco4,Gm42714,Gm40773,Lrrc39,Gm22177,Gm20485,Gm4870,Gm42884,Rpl7,Gm30232,Hddc3,Rtl9,Trim38,Gm48114,AC188608.1,Gm26694
4369,Gm24764,Gm25336,Aqp8,Gm9386,Gm7890,Olfr106-ps,A830019L24Rik,Gm37521,Sectm1a,Nlgn1,Gm7935,Cacng8,Zc3h12a,Prdm14,Olfr270,Dcdc2b,Tmco3,Gm4916
4370,Olfr1244-ps1,Sbspon,Cnn2,Homer2,Rtel1,n-R5s12,Galnt13,AC115789.4,Gm5096,Dcp1a,Etl4,Nudt6,Crnn,Bpifb9b,Mndal,Gm5453,Gm26148,Mir99a
4371,1700030E10Rik,Stx12,Gm23691,Gm2707,Slc25a29,Tceal7,Gm49715,A230050P20Rik,Gm23833,Kxd1,Adgra1,Tdrd7,Oard1,4922502D21Rik,Ndnf,Tmem14a,Gm4735,Gm12827
4372,Gm11502,Arl15,Zfp976,Nxph2,Pros1,Gm13425,Tmem8b,Sdsl,Gm12217,AC121603.3,Zswim7,Aamdc,Neurog1,Arv1,Desi2,Tha1,Lrp2,Gm48487
4373,Ppip5k2,Gm30373,Gm12324,Olfr987,Gm9913,Mip,Rnf217,Gm45255,Tcim,Gm22901,Gm39228,Tnfrsf10b,2900092C05Rik,Ogfod3,Dusp9,Nup188,Gm7896,Gm12981
4374,Gm42558,Lama1,AC154379.1,AC103405.1,Slc22a13,C1ql4,4933404O12Rik,Dpp8,Igkv8-31,4930599N24Rik,Gm15512,Rcan3,4930474N05Rik,Mrpl14,Mvb12a,Pth2,Pla2g6,Gm22060
4375,Mir876,Med15,Gm20281,Gm6421,Gm5844,Mir298,Gm34721,Peli3,Gm23748,Dnajb1,Psme1,Pou2f1,Slc16a12,Hars,Spata31d1d,Mapt,Gm3415,Magix
4376,Iqce,Ccdc166,Esp23,Robo2,AC141639.3,Gm23320,Kcnh7,Zdhhc19,Dbx2,Gipr,6430584L05Rik,Bend3,Olfr1385,Bves,1700122O11Rik,Rfxank,Gm12147,Igkv2-93-1
4377,Dock10,Casz1,Gm22235,Serpina10,Gm42524,1700082M22Rik,Gm15349,Med23,Gm9673,2010203P06Rik,B430212C06Rik,Depdc1a,Tex21,Hao1,Ctxn3,2010204K13Rik,S100z,Kcnab3
4378,Gm48089,Tmem185b,Gm9174,Gm12262,Platr4,Gm24927,Gm32405,Pakap,Gm49197,Ubp1,Egln1,Smim14,Adora2b,Kcnv2,Pheta2,Hif3a,Gm11393,Rpn2
4379,Gm11642,B230377A18Rik,Gm24464,AC122497.1,Gm24503,Mmadhc,Gm47204,Mea1,Gm12663,Gm26785,4930568G15Rik,Ccdc89,Phf5a,Klk4,Hpgds,Slc35b4,Gm14415,Iba57
4380,Mir6905,Alkbh3os1,Itsn2,Lipg,Cers6,Gm27660,Il3ra,Gm28982,4930572G02Rik,Caml,Gm23677,Lgals3bp,4930563M21Rik,Cpa3,Thbs1,Gm24186,Gm27039,Gm24049
4381,Gm37848,Extl2,F730311O21Rik,AC104867.1,Gm47833,Cd300ld2,Ccny,Apba1,Gm23027,B3gntl1,Gm13617,Tsc22d2,Zcchc13,Mrgprh,S100b,Gm43133,Vmn1r17,Gm13031
4382,Cpxm2,Gpr161,Gm46411,Mprip,Stra6,Gm25436,Actn2,Nus1,Gm26865,Stx5a,Mrpl28,Hpx,Krtap28-13,H2-M3,Rgr,Gm45393,Gm8346,Gm15983
4383,9230111E07Rik,Rtl6,Gm12200,Lcmt1,Gm18715,Mafk,Gm41495,Brms1l,B020017C02Rik,Gm15719,Ssc4d,Gm25215,Ribc2,Olfr229,Fbxw22,Noc2l,Gm5210,Mir22
4384,Gm23755,Efemp2,Crispld2,Cfi,Gm46430,Olfr505-ps1,Zfp704,Cdv3,Pmaip1,AC151478.2,1700003F12Rik,Mir6363,Mug1,Cfap73,Rtl6,Dpp10,Gm48301,Gm49784
4385,Tnfrsf9,Gm13883,Mycbp,Spint4,Slc7a4,Gm49248,Eif5,Atp5a1,Gm25308,Sox30,Fbxl2,Arl6,Ugt2b37,Scgb2b1,Chrac1,Bcat2,Rab37,Gm25879
4386,4930579D09Rik,Paip2,Skint2,Gm13240,Creb3l1,Gm14745,Rheb,Gm10190,Gm42700,Slc9a1,Gm38577,Gm25369,Hhip,Olfr483,Umod,Wbp4,6430710C18Rik,Sfpq
4387,Tmem35a,Pde4dip,Gm12703,Gm43731,Ttc39b,AC114006.1,Map1s,Enho,Gm31306,Gpr22,Pwp2,Rpl9-ps8,Olfr1022,Olfr825,Il9,Msl2,BB218582,2810002D19Rik
4388,Haus6,Aox2,Gm4335,Gm22308,Trpm8,Gm27152,BC030867,Cfap69,Mir7051,Phactr2,Rfc5,Gm26308,Fam71e1,Olfr53,Pcbd1,Lrp11,Igkv1-117,Psca
4389,Plau,Gm17529,Gm23206,Gm27000,Gm28167,Prl5a1,Gm25781,Ttk,Gm10212,C2cd5,Map2k3,Gm6475,Olfr613,Olfr1312,1700024G13Rik,Alkbh1,Gm43092,Tcp1
4390,Pfkm,Gm13881,Clec5a,Dpp6,Bcl2a1a,Tubb4b,Ankrd9,Kif3b,Gm31378,S100pbp,Twf2,Tmem30a,Rdh16,Olfr263,Stfa1,Nr1h3,Dnah3,Ino80dos
4391,Gm29367,Gm23608,Gm14640,Gm13210,Gm43399,Gm18973,Rbm5,Zfp174,Gm22607,Platr23,D830026I12Rik,Lrp3,Olfr933,Olfr776,Uts2b,Hist1h1a,Smc3,Gm43973
4392,Glp2r,Maff,n-R5s31,Mrps33,Gm11897,Gm14576,Shisa5,1700092K14Rik,1700028M03Rik,Rabepk,Neto1,Gm16277,Crnkl1,Olfr898,Bcap31,Pbx1,Igkv8-27,Exoc6
4393,Fau-ps1,Gm22293,Gm9905,Gm25090,Gm45698,AC165153.2,Mir29a,Gm26289,Gm42672,Gm5177,Copz1,Itsn2,Proc,Vmn2r72,Retnla,Cdc25b,Gm8246,Pagr1b
4394,Mllt10,Pink1,9130023H24Rik,Glul,Fbln1,Gpx3,Gm25613,Mief2,Gm26345,Adcy10,Nap1l1,Arf6,Sfrp5,Apol11a,Agr3,Furin,Zfp964,Gm25260
4395,Gm31678,Gm45033,Esp34,Prom2,Gm4767,Mir465c-2,Pitpna,6430590A07Rik,Rpl18,Selenoi,Bid,Hspd1-ps5,Phf11b,Olfr1535,Slc6a3,Zfp169,Gm42606,Gm6365
4396,Plk-ps1,Gm38590,AC157903.1,Gm22792,Gm46218,Gm48020,Tmem54,Gm16333,Gm21596,Nox1,Supt3,Gm23329,Krtap27-1,5031410I06Rik,Olfr225,Tk2,Gm9403,4930417O22Rik
4397,Gm25413,Ptar1,Olfr698,Gm37590,Sh3bp5,Gm19248,Zfp507,2300009A05Rik,2510046G10Rik,N4bp2l1,Gm24579,Gm13905,Olfr981,Calml3,Slc25a39,Adam33,Gm20177,Sned1
4398,Gm32729,2600014E21Rik,Vmn2r-ps116,Ddx28,Txk,Gm37169,3100003L05Rik,Zfp580,Krtap28-13,Bhlha9,Gm19554,Gm24727,Olfr824,Asrgl1,1700001K19Rik,Gm14817,Gif,Gm19147
4399,Wasf1,Ppp2r1b,Esp18,Cntf,Rapgef1,Mad1l1,A330102I10Rik,Arl16,Gm45045,Rora,Mybl2,Gm24189,Defb29,Olfr1226,Ooep,Rnft2,Lamc1,Olfr992
4400,Mrps36,Hcn4,Gm45221,Stk38l,Ldha,Ppm1f,Lct,Cyp4f37,Gm25660,Borcs5,Gm6869,Fcgr3,Ubd,Ceacam16,Vmn2r1,4930550C14Rik,AC125218.2,Gm37181
4401,Arg2,Gm37848,Vmn2r-ps83,Gm33630,Gm42585,Lsm8,AC132307.5,Gm23411,Gm48618,Mir344,Cfap36,Ccdc70,Cyp2c69,Olfr177,Dsel,Gm45865,Tex24,Mir105
4402,9930024M15Rik,Irs1,1700119I11Rik,Gm7697,Gucy2g,Ighd2-4,Rrp1,Gm29594,Gm47551,Txnrd1,n-R5s187,2900057B20Rik,1700057G04Rik,Olfr92,Lefty2,Gm26801,Kctd19,Gm20492
4403,Scap,Ccnq,Olfr134,Olfr576,Fbxw13,Gm9541,Spata4,Impdh2,Gm44720,Gm11803,Gm48550,Mir6998,Mroh6,Timm8a2,Zfp512,Mir129-1,Tmem212,Gm44006
4404,Syt5,Gm7047,Cycs-ps3,Arl13b,Tcof1,Ngrn,Gm37506,Nadk2,CAAA01141682.2,Gm42545,Igsf5,E030037K01Rik,Olfr658,Acnat1,Cln5,8430426J06Rik,Tnks,Rbbp7
4405,Plch2,Smyd1,Esp31,Fn1,Gm7046,Cd47,Snx10,Rpia,Vmn2r-ps76,Anxa6,Gm25099,Gm47084,Krt78,Vmn1r194,Tekt3,Mat2b,Fbxo40,Gm25328
4406,Cd28,Slc12a8,6030468B19Rik,D330020A13Rik,Ptprc,Gm26204,Gm37536,Lnpep,Gm23081,Spag5,F630040K05Rik,Kcnk1,Rab19,Srp54a,Lce1a1,Gm10855,Gm32569,Med31
4407,Basp1,Leprot,Meiob,Spink12,Gm18035,Gm10048,Igsf3,Spryd7,Gm4992,Gm15328,Gpnmb,Gm38365,Olfr816,Olfr178,Hoxc13,St8sia3,Samd4,Gm15197
4408,Epm2a,Casq2,Gm22355,Palm2,Gm45433,Tshr,AC132460.3,Myo5a,F730311O21Rik,Tmeff2,Ccdc32,Pxdc1,Gm156,Olfr1047,Mrc1,Gas5,Rtn4ip1,Serpinb9
4409,Gm11983,4930486F22Rik,Mir7057,Rptoros,Gm14340,Tceal9,Acr,Scaf1,Gm38391,Bahd1,Vmn2r3,Gm4755,Olfr875,Cyp2c69,Plek2,Slc16a11,Vmn1r-ps3,Gm35215
4410,Gm42141,Itgb6,Gm7357,Tubgcp3,Gm12071,Gm48625,Necab1,A330035P11Rik,A130050O07Rik,Otop2,Gm44055,Tldc2,Khdc1b,Ubd,Trmt12,1500015A07Rik,Gm47229,Zfp809
4411,Dcun1d1,Gm29811,AC142213.1,Gm47161,Lrfn5,Nctc1,Gm49703,Gm49548,Gm24549,Stx2,Pde6d,2900045O20Rik,Vmn2r84,Serpina3j,Cyp11b1,Pfkfb2,Gm24434,1700120C14Rik
4412,Nell1,Ptbp1,Hamp2,Misp,Ifna2,Gm24925,Actg2,Pik3ca,Olfr1275,Fbxl14,Impa1,Lyrm1,Vmn2r90,Olfr824,Ldoc1,5830473C10Rik,Olfr166,Gm48413
4413,Mir504,Gigyf1,Ecm2,Gm23389,Jmjd1c,Aimp2,Gm45153,Gm48295,Gm7450,Gm24892,AW554918,Prc1,Stfa3,Olfr52,Gm9573,Gm24305,Olfr408-ps1,Gm20755
