,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
40,Magi2,Bcl11b,Slc1a3,Jak1,Met,Iqch,Trak1,C230057M02Rik,Gm16168,Osbpl10,Cyp46a1,Ghrh,Cplx2,Kcnc2,Kcnk5,Nfix,Gm6087,Htra1
41,Syne1,Grik1,Ppfibp2,Slc25a13,Baz2b,Panx3,Gabbr2,Camta1,Sparc,Mtus2,Sox2,Zfp36l2,Cfap299,Kcnn3,B3galt5,Lzts1,Gm22534,Slc27a1
42,Myo1b,Dscaml1,Ptgds,Zmiz2,Fam126a,Gm30409,Lzts1,C530008M17Rik,Bmf,Nrxn1,B3galt6,Gas1,Tmem132b,Syndig1l,Shisa4,Tspan5,Rpl31-ps23,Tef
43,Anks1b,Galntl6,Opalin,Satb2,Chst8,Gm23118,Ccdc155,Atp1b1,AC132455.3,Schip1,Cdca7l,Pcmtd1,Hs3st4,St8sia2,Tmem189,Shank1,Gm49472,Mtss1l
44,Brinp1,Nrxn3,Cd9,Trim37,Dct,Rnf217,Kcnq2,Ptprm,Tgfbr1,Dgkz,Hnrnpk,Klf3,Cog5,Lor,Gatm,Celf2,Gm24485,Midn
45,Tspan5,Ngf,A230009B12Rik,Mtss1,Pde4d,1700104L18Rik,Nrxn1,Cacna2d2,Gm22847,Ddx20,Elovl5,Tbl2,Fam135b,Zfp804a,Olig2,Egr1,C130026I21Rik,Pxn
46,Add2,Ptprm,Litaf,Tax1bp1,AC164314.1,Gm25969,Nav2,Dlx6,Gm31105,Tcof1,Kdm2a,4932412D23Rik,Akap6,Dusp10,Cdc42ep1,Myo5c,Gm47215,Sash1
47,Ndrg4,Metap1d,Qk,Gzmb,Platr26,Gm22276,Bcar3,Spsb4,Gm36246,Apba2,Gm13889,Gprc5b,Kcnq3,Kcnd2,Sox2,Kcnq2,Zfp988,Itgb5
48,Pde4dip,Ablim1,Padi2,Nav2,Ptpn20,Gm24978,Add2,Pde10a,Plxnb3,Fam189a1,Jarid2,Sp4,Grid1,Grik3,Cuedc1,Mtcl1,Cldn34d,Gm30731
49,Erc2,Ncoa1,Mobp,Gm18640,Il1rap,Gm18452,Shank1,Gm48611,Arap1,4930431P22Rik,Gm12524,Evi5l,Brinp1,Lrrc30,Gpr37,Ndrg4,Gm15319,Cdc42ep4
50,Mapk10,Dpysl5,Plp1,Fggy,Lifr,AC154258.1,Plekha7,Osbpl3,Mir219a-2,Gm36495,Map3k14,A230028O05Rik,Flrt2,Drd1,Fbxo2,Kif5c,Sox6,Gm11407
51,Rbfox1,Kcns3,4930408O17Rik,Gm2694,Fbxw11,Gm47663,Trim9,Grm4,Adamtsl4,Mettl24,Sp9,Lrp1,Pde2a,Ksr2,C1qa,Trak1,2610005L07Rik,Gm12676
52,Cobl,Camta1,Adgrg1,Acoxl,Prdm16,Gm13197,Ablim1,Pxylp1,Pdlim5,Cobl,Kctd7,Tgfbr1,Grm3,Mafb,Zfp488,Dnajb5,Sp140,Gm26703
53,Arhgap32,Gm44094,Megf10,Stt3a,Lvrn,Gm48117,Ntrk3,Kcnmb2,Gm29291,Ccdc155,Ttc34,Htra1,Cdh6,Majin,Erbb3,Bcl11a,Inpp4b,Gpr146
54,Nrcam,Retreg1,Adipor2,Ogdh,Dnajc13,Gm24398,Slc17a7,Pdxk,Vsir,Gm24858,Ppp2r3d,Arhgap23,Ank,Kcnc1,Psat1,Bcar3,6820431F20Rik,1700025H01Rik
55,Dlgap3,Sh3rf3,Fxyd3,Gm22868,Fstl5,Gm49519,4930447F24Rik,Grip2,Ppfibp2,Add2,1110065P20Rik,Olig2,Nkain2,Gulp1,Gprc5b,Chn1os3,Flt1,Hip1
56,Cttnbp2,Kif26b,Gm37310,Gm48200,Rffl,1700003L19Rik,Trio,Vwc2,Gm12724,Poc1a,Izumo1r,Ntmt1,Cacng3,Vat1l,Abtb2,Cd209a,Setd4,4932412D23Rik
57,Siae,Frmd5,Mtus1,Slc16a4,Adarb1,Gm12031,Myrip,Sox1ot,Cmtm5,Rin1,Grhl3,Gm33756,Kcnb2,Bach1,Olig1,Slc12a5,Piezo2,Fbrs
58,Trim9,Ankrd55,Tns3,Tanc2,Msh3,Dnajb5,Rbfox1,Dlx6os1,Bcas1,Nrcam,Dap3,Bcl9l,Rars,Rnd3,Crocc2,Gm2651,Dnah7b,Slc9a3r1
59,Slc6a17,Kif5c,S100a16,Gls,Mast4,Cd96,Cabin1,Epb41l3,AC091309.2,Pla2g2c,Zbtb14,Rps6ka5,Fut9,Map3k13,Zdhhc1,Mark2,C130079G13Rik,Smox
60,Sel1l3,Dlx6,Caskin2,Sec24b,Thsd7a,Gls2,Tenm4,Rasgrp2,Nkx2-2os,Foxp1,Inafm1,Cd9,Arntl,Sp8,Mertk,Tyro3,Gm13147,Bahcc1
61,Ank2,Daam1,Ralgds,Sphkap,Gdpd5,Gm24347,Sipa1l1,Elavl2,Tsc22d4,Slc17a7,Prmt1,Prodh,Kctd16,Tbc1d16,Tmem95,Pde4dip,4930467E23Rik,Ubc
62,Dgkh,Pde5a,Gm44956,C87114,Coro2b,Gm40123,Rptor,Rnd2,Mir1936,Plekha6,Hnrnph1,Gm10863,Reep1,Sema3e,Edem1,Cabin1,Dnah8,Nat8f4
63,Satb2,Fgf12,Gm12983,Wdr62,Svil,Gm24119,Mpped1,AC114003.1,Gm29394,Tyro3,0610009B22Rik,Zfp467,Cpe,Ntn4,Nid1,Cacna1e,Pld1,Fam107a
64,Sv2b,Cit,AC131323.2,Gm49001,Cops8,AC130218.1,Slc1a2,Gm25239,1700025H01Rik,Arhgef7,Slc45a4,Gm12724,Syt13,Tubb2b,Cxxc5,Baiap2,Gm25614,Pax6
65,Ablim1,Gm48611,Kazn,Cnksr3,Epb41l3,Gm7039,Fam189a1,Mtss1,Zfp710,Gm18959,Gm34220,Hip1r,Rnf169,Tafa5,Nhlrc4,Nrxn1,Neb,Scd2
66,Nos1ap,Dner,Plekhf1,Gm31718,Cdh23,Spdl1,Rasal1,Pcbp3,S100a16,Rasal1,Mir6357,Fxyd3,Gsg1l,Cracr2a,Hs1bp3,Cit,Zfp980,Epas1
67,Mycbp2,Slco3a1,Ppp1r14a,Rrbp1,Uhrf2,Nudt2,Slc12a5,Gm22518,Snx33,Rmnd5b,Gm33054,Caskin2,Rgs7bp,Ndufaf5,F830045P16Rik,Apba2,Gm20946,Fads2
68,Nin,Pam,Amotl2,Speg,Cpne4,C030047K22Rik,Kcnab2,Rbms3,Prkcq,Gm26863,Adck1,St3gal4,Naaladl2,Zc3h3,Plekhf1,Mras,Patj,Arhgef10l
69,Nup93,Utrn,Hepacam,Gm23260,Thada,Gm24238,Jakmip1,Clstn3,Gab1,Fry,Rab3b,Gnao1,Gabra2,Nipal2,Hexb,Ank3,Gm21119,Gm29394
70,Tbr1,Dlx6os1-1,Slc6a1,Mdga2,Wdsub1,Gm12030,Poc1a,Dscaml1,Plekhg3,Phyhip,Maf,Xpo1,Cdh12,Ppp3r2,Cyp2j12,Asap1,Mroh2a,Sdc4
71,Crmp1,Tbc1d2b,Bcas1,Pkp4,1600002D24Rik,Gm16345,Gm19863,Sergef,Gm19972,Galnt9,Dctpp1,Sorbs3,Igsf21,Luzp2,Zfp36l2,Prkcz,Gm30849,Arhgef19
72,Lzts1,Ubash3b,Hif3a,Gm14012,Nrg1,Dnajb9,Erc2,Ccdc63,Litaf,Fam53b,Mtss1,Carhsp1,Lrrn2,Slc35d3,Lfng,Pde2a,Gm6264,Bhlhe40
73,Map2,Kcnc1,Mir1936,Gm22170,Phf14,Prkd2,Lmo7,Ttll11,Cx3cr1,Crmp1,Lmo2,Ap2a1,Cdkl4,Ccdc102a,Zfp36,Rimbp2,1700110I01Rik,Prodh
74,Celf1,Pcp4l1,Arhgef19,Adcy5,Spg11,Zfand1,Ank2,Gm42692,Gm36961,Ubxn11,C530008M17Rik,Zfp787,Slc35f1,Tnks,Trim8,Nr1d1,Gm7807,Pantr1
75,Rtn4rl2,Eya4,Gm16168,B230323A14Rik,Olfr1408,Glb1,4930431P22Rik,Grhl3,Gm49012,Atp2b2,Fam20c,Zswim6,Frmd6,Gm13889,Tmem88b,Crmp1,Igkv1-122,F630040K05Rik
76,Eml6,Rapgef4,Prkd3,Gadl1,Ntrk3,Gm12720,Grin2a,Fam83d,Orai1,Eml6,Scrt1,Lfng,Ajap1,Fam210b,Ghrh,Mast3,Gm3173,Ttyh3
77,Bcar3,Col19a1,Gpr17,Gm22370,Lnx1,Hspa9-ps1,2010300C02Rik,Gm22969,Cmtm7,Rprml,Svip,Dbi,Vsnl1,Gpr63,Smad6,Trio,Adgrv1,Sp1
78,Ica1,Zfp385b,Plekhg1,Gm48682,Parp1,Vmn1r-ps22,Siae,Adcyap1r1,Notch1,Sipa1l1,E4f1,Hbp1,Hs3st2,Npas3,Abca1,Tcof1,Gm10339,Brd2
79,Meis2,Npy,Cmtm5,Myom2,Gm18129,Gm16344,Eef1a2,Sox2,Adap2,Rasgef1a,Bad,Zfp503,Enox1,Adamts15,Fzd7,Tenm4,Gm49554,Lncppara
80,Slit3,Rnf144b,Pcsk6,Arid4b,A530021J07Rik,Mir5106,Cacna1c,Lrp8,Sox10,Prickle2,Ccdc85c,Cdkn2d,Pabpn1l,Gpr139,Anln,Poc1a,Trpm8,Trp53
81,Adgrb1,Reln,Gm13062,Sufu,Atp2c1,Axl,Ankrd33b,Anks1,Aldh3b1,Baiap2,Mpnd,Elovl5,Inka2,Chrna7,Ticam2,Eef1a2,Gm5373,Arl8a
82,Hspa12a,Rab3b,Tgfa,Wrnip1,AC121783.1,Lhx4,Itpr1,Fgfr2,Tifab,Dnal4,Rnf44,Rapgef3,Pcdhac1,Foxo1,Rnf7,Ssbp3,Gm21887,Nfe2l2
83,Rasgef1a,Pdxk,S1pr1,Heyl,Gm15270,Gm12067,Ndrg4,Fam210b,Ctsz,Ddn,Tomm6,2900040C04Rik,Chsy3,Gdnf,Plpp3,Plekha6,Cast,Sin3a
84,R3hdm1,Frmpd1,Epas1,Ahcyl2,Tbx15,AC140240.3,Dnal4,Trim67,Bcl2l11,Siae,n-R5s82,Rgma,Prmt8,6430571L13Rik,Ccdc51,Tcf4,Gm10552,Ptma
85,Igsf9b,Sgip1,Nfe2l2,Gm37943,Eml6,Tgm5,Pgbd5,Scrt1,Rps6ka1,Synj2,St8sia5,Kifc3,Trerf1,Bag3,Ldlrap1,Jph3,Gm16026,Dnpep
86,D430041D05Rik,Slc38a1,Bcl9l,Pum2,Frmpd1,Gm13192,Phactr1,Rab3b,Tmem119,Mef2c,Dlx2,Midn,Cntnap5a,Nckap1l,Aspa,Cdk5r1,Gm18342,Ppp2r3d
