,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
54,Gpr176,Slc24a4,Cbs,,,,,,,,,C1qb,Cntnap5c,Nrsn2,Tmem150c,BC030500,Gm40518,Pcdh8,Syndig1l,Rassf2,1190002N15Rik,H2-K1,Stk32b,Npy2r,,,
55,Parm1,Lzts1,Atp13a4,,,,,,,,,C1qc,Fibcd1,Phldb2,Fam84b,Vstm2l,Lsp1,Ror1,Trh,Trpc7,Kcnab3,Dysf,4930426D05Rik,Nov,,,
56,Snx8,Arhgap10,Tlcd1,,,,,,,,,F13a1,Aldh1a3,Lrrc1,Gm36543,Il4ra,Cnksr3,Grin3a,Ngf,Etv4,Gpr83,Ror1,Ifit2,Wnt5a,,,
57,St8sia4,Ldb2,Pla2g7,,,,,,,,,Mrc1,Gm4876,Slc17a6,Npr3,G0s2,Col23a1,Nhs,Pik3r5,Boc,Tmem132c,Col14a1,B3gat2,Lypd1,,,
58,Dner,Ltk,Cyp27a1,,,,,,,,,Mpge1,Nos1,Hcrtr2,Postn,Gm13629,Cebpd,Cdh13,5930412G12Rik,Kctd6,Rbm20,Colgalt2,Ankfn1,Shisa8,,,
59,Kcnc1,A930011G23Rik,Plekhg1,,,,,,,,,Siglech,Arsj,Nhs,Vgll3,Plxnd1,Olfml2b,Dnah14,C1qtnf1,Vgll4,Tcap,Nbl1,Tunar,Pkp2,,,
60,Mtss1,Acvr1c,Lims2,,,,,,,,,,Baz1a,Coro6,Npnt,Plb1,Gm27040,Ros1,Synpo2,Arhgef37,Kcng4,Sox8,Kif23,Sdk1,,,
61,Gfpt2,Zfp831,Pbxip1,,,,,,,,,,Lamp5,Pcsk5,B3galt5,Cdh20,H2-T23,Syk,Ndrg1,Cald1,Gm3985,Teddm3,Lpar1,Plce1,,,
62,Sema4g,Slit3,Scrg1,,,,,,,,,,Igfbp2,Rcan3,Afap1,C030013G03Rik,Rgma,Greb1,Cdh24,Atp11c,Fzd6,Itgb5,Klhl1,4930590L20Rik,,,
63,Galntl6,Zfhx4,Eva1a,,,,,,,,,,Htr7,Abi3bp,Gm30648,BC006965,Ephb1,Galnt14,Ddah2,A830018L16Rik,Zak,Rgma,Arhgap6,Pbx3,,,
64,Syt2,Herc6,Gpc5,,,,,,,,,,Adrb3,Fgd6,Hsd11b1,LOC105244779,Fam20a,Mdga1,Gadl1,Adamts17,Map3k20,Clic4,Gm47033,Rapgef3,,,
65,Adra1a,Gm12371,Kank1,,,,,,,,,,Crispld1,Sfmbt2,Cntnap5c,LOC105245096,A730056A06Rik,Lgr5,Dsg2,Cryab,Gm28501,9530059O14Rik,Gpx3,Asic1,,,
66,Rasgrp2,Vmn2r85,Gstm1,,,,,,,,,,Bicc1,Chrm2,Rasgrp4,Gm31113,Gadd45a,Car12,Nxph3,Piezo1,Mybpc1,Htr7,Prokr2,Htr2c,,,
67,Abat,Slc8a2,Fam107a,,,,,,,,,,Plk5,Mcc,Kcnn2,Gm30837,D930048N14Rik,Drd1,Trp53i11,Gm5916,Npnt,Sncg,Ifit3,Grik4,,,
68,Ank1,Nrn1,Mbp,,,,,,,,,,Npnt,Mgat4c,Amn,LOC101056001,Ddah1,Pde5a,9530026P05Rik,Rasl11a,Akr1c18,Crabp1,Lgals1,Tmem200a,,,
69,Sncaip,Serpinb8,Sdc4,,,,,,,,,,Hspa1b,Sorcs2,Trpc4,Gpr115,Islr,Sema5b,Cd164,2600014E21Rik,Col16a1,P2ry1,Dmrt2,Cdon,,,
