,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
18492,Gm7384,Gm12148,Gm18295,,,,,,,,,,,,,,,,,,,,,,,,
18493,Cyp3a11,Gm5693,Gm18296,,,,,,,,,,,,,,,,,,,,,,,,
18494,Gm31301,Gm12605,Gm18297,,,,,,,,,,,,,,,,,,,,,,,,
18495,Gm30193,Diaph1,Gm18306,,,,,,,,,,,,,,,,,,,,,,,,
18496,Gm35225,Gm37552,Gm18311,,,,,,,,,,,,,,,,,,,,,,,,
18497,Mir3544,AA645442,Gm18320,,,,,,,,,,,,,,,,,,,,,,,,
18498,LOC105243279,Gm16211,Gm18323,,,,,,,,,,,,,,,,,,,,,,,,
18499,Gm27246,Gast,Gm18327,,,,,,,,,,,,,,,,,,,,,,,,
18500,Gm21411,9530053A07Rik,Gm18329,,,,,,,,,,,,,,,,,,,,,,,,
18501,Gm32927,Gm5340,Gm18331,,,,,,,,,,,,,,,,,,,,,,,,
18502,Gm35427,Olfr1129,Gm18332,,,,,,,,,,,,,,,,,,,,,,,,
18503,Gm5940,Gm36067,Gm18334,,,,,,,,,,,,,,,,,,,,,,,,
18504,Gm11977,Gm15195,Gm18339,,,,,,,,,,,,,,,,,,,,,,,,
18505,Gm17961,Gm21009,Gm18340,,,,,,,,,,,,,,,,,,,,,,,,
18506,Olfr214,Gm36458,Gm18341,,,,,,,,,,,,,,,,,,,,,,,,
18507,Gm32607,LOC105247214,Gm18349,,,,,,,,,,,,,,,,,,,,,,,,
18508,Mir343,LOC105242873,Gm18350,,,,,,,,,,,,,,,,,,,,,,,,
18509,Olfr368,Gm29716,Gm18351,,,,,,,,,,,,,,,,,,,,,,,,
18510,Olfr601,Gm8018,Gm18352,,,,,,,,,,,,,,,,,,,,,,,,
18511,BC048602,Gm36784,Gm18353,,,,,,,,,,,,,,,,,,,,,,,,
18512,Gm33449,LOC105246392,Gm18354,,,,,,,,,,,,,,,,,,,,,,,,
18513,Gm35751,LOC105246069,Gm18357,,,,,,,,,,,,,,,,,,,,,,,,
18514,Gm3953,Mir7687,Gm18361,,,,,,,,,,,,,,,,,,,,,,,,
18515,CAAA01147332.1,Gm13076,Gm18377,,,,,,,,,,,,,,,,,,,,,,,,
18516,Gm18288,Pira2,Gm18384,,,,,,,,,,,,,,,,,,,,,,,,
18517,Mir297b,LOC105244936,Gm18386,,,,,,,,,,,,,,,,,,,,,,,,
18518,Gm6499,LOC105243656,Gm18387,,,,,,,,,,,,,,,,,,,,,,,,
18519,Hmgb3-ps,CT868723.1,Gm18389,,,,,,,,,,,,,,,,,,,,,,,,
18520,Cd207,Gm43786,Gm18396,,,,,,,,,,,,,,,,,,,,,,,,
18521,LOC105245512,Gm18983,Gm18397,,,,,,,,,,,,,,,,,,,,,,,,
18522,LOC102639567,S100a5,Gm18399,,,,,,,,,,,,,,,,,,,,,,,,
18523,Gm12460,Gm33698,Gm18400,,,,,,,,,,,,,,,,,,,,,,,,
18524,Gm20905,LOC102632291,Gm18403,,,,,,,,,,,,,,,,,,,,,,,,
18525,Gm42574,Gm7561,Gm18404,,,,,,,,,,,,,,,,,,,,,,,,
18526,LOC105247078,LOC105242784,Gm18410,,,,,,,,,,,,,,,,,,,,,,,,
18527,Gfi1,Dhx30,Gm18412,,,,,,,,,,,,,,,,,,,,,,,,
18528,Sucnr1,Gm3360,Gm18414,,,,,,,,,,,,,,,,,,,,,,,,
18529,Rpsa-ps8,Cyp4a10,Gm18415,,,,,,,,,,,,,,,,,,,,,,,,
18530,Gm36055,Dppa2,Gm18416,,,,,,,,,,,,,,,,,,,,,,,,
18531,Gm21115,Gm12440,Gm18420,,,,,,,,,,,,,,,,,,,,,,,,
18532,Vmn1r-ps97,Gm28139,Gm18426,,,,,,,,,,,,,,,,,,,,,,,,
18533,LOC105245346,Gm16071,Gm18428,,,,,,,,,,,,,,,,,,,,,,,,
18534,Gm19680,Gm13435,Gm18429,,,,,,,,,,,,,,,,,,,,,,,,
18535,Gm11345,LOC105243147,Gm18430,,,,,,,,,,,,,,,,,,,,,,,,
18536,Krt8-ps,Gm7562,Gm18431,,,,,,,,,,,,,,,,,,,,,,,,
18537,Hoxc8,Mnx1,Gm18435,,,,,,,,,,,,,,,,,,,,,,,,
18538,Gm16008,Gm6758,Gm18438,,,,,,,,,,,,,,,,,,,,,,,,
18539,Gm8139,LOC102640500,Gm18439,,,,,,,,,,,,,,,,,,,,,,,,
18540,Gm32232,Gm8472,Gm18442,,,,,,,,,,,,,,,,,,,,,,,,
18541,Gm17897,Olfr1052,Gm18447,,,,,,,,,,,,,,,,,,,,,,,,
18542,Rpl26-ps5,Gm35727,Gm18448,,,,,,,,,,,,,,,,,,,,,,,,
18543,Mir367,Gm33697,Gm18450,,,,,,,,,,,,,,,,,,,,,,,,
18544,Gm8454,Gm35143,Gm18452,,,,,,,,,,,,,,,,,,,,,,,,
18545,Mir3966,Gm15603,Gm18455,,,,,,,,,,,,,,,,,,,,,,,,
18546,Gm12019,Fabp12,Gm18456,,,,,,,,,,,,,,,,,,,,,,,,
18547,Gm6632,Gm7911,Gm18458,,,,,,,,,,,,,,,,,,,,,,,,
18548,Gm30257,Gm28827,Gm18459,,,,,,,,,,,,,,,,,,,,,,,,
18549,Gm16421,Gm5317,Gm18460,,,,,,,,,,,,,,,,,,,,,,,,
18550,Gm14859,Gm6214,Gm18461,,,,,,,,,,,,,,,,,,,,,,,,
18551,Car6,Gm8869,Gm18462,,,,,,,,,,,,,,,,,,,,,,,,
18552,Actbl2,Cyp2b27-ps,Gm18463,,,,,,,,,,,,,,,,,,,,,,,,
18553,Gm30467,Gm16958,Gm18464,,,,,,,,,,,,,,,,,,,,,,,,
18554,Gm14561,Gm9837,Gm18465,,,,,,,,,,,,,,,,,,,,,,,,
18555,Rpl7a-ps12,Gm8574,Gm18466,,,,,,,,,,,,,,,,,,,,,,,,
18556,Gm6751,Gm20679,Gm18467,,,,,,,,,,,,,,,,,,,,,,,,
18557,Mir7000,2810404F17Rik,Gm18468,,,,,,,,,,,,,,,,,,,,,,,,
18558,Gm12746,Ifi44l,Gm18469,,,,,,,,,,,,,,,,,,,,,,,,
18559,LOC105242837,Kif18b,Gm18470,,,,,,,,,,,,,,,,,,,,,,,,
18560,Gm17806,LOC102633596,Gm18471,,,,,,,,,,,,,,,,,,,,,,,,
18561,Gm10410,Hmx1,Gm18475,,,,,,,,,,,,,,,,,,,,,,,,
18562,Gm35367,Ang4,Gm18477,,,,,,,,,,,,,,,,,,,,,,,,
18563,Gm34243,Vmn2r68,Gm18478,,,,,,,,,,,,,,,,,,,,,,,,
18564,Gm9546,Gm4750,Gm18481,,,,,,,,,,,,,,,,,,,,,,,,
18565,LOC105242428,Gm35007,Gm18486,,,,,,,,,,,,,,,,,,,,,,,,
18566,Mir6916,Speer3,Gm18496,,,,,,,,,,,,,,,,,,,,,,,,
18567,Gm3188,Gm29904,Gm18497,,,,,,,,,,,,,,,,,,,,,,,,
18568,Gm34130,Klra9,Gm18498,,,,,,,,,,,,,,,,,,,,,,,,
18569,Sult1c1,Gm18856,Gm18502,,,,,,,,,,,,,,,,,,,,,,,,
18570,Gm13118,Gm42574,Gm18503,,,,,,,,,,,,,,,,,,,,,,,,
18571,LOC105244146,Calm5,Gm18509,,,,,,,,,,,,,,,,,,,,,,,,
18572,Gm18565,Gm20610,Gm18510,,,,,,,,,,,,,,,,,,,,,,,,
18573,Speer7-ps1,LOC105245010,Gm18513,,,,,,,,,,,,,,,,,,,,,,,,
18574,Gm9341,Gm14028,Gm18518,,,,,,,,,,,,,,,,,,,,,,,,
18575,Defb4,Gm2411,Gm18520,,,,,,,,,,,,,,,,,,,,,,,,
18576,Gm1818,Gm15778,Gm18521,,,,,,,,,,,,,,,,,,,,,,,,
18577,Gm31790,Gm35299,Gm18522,,,,,,,,,,,,,,,,,,,,,,,,
18578,Gm7086,Gm18965,Gm18523,,,,,,,,,,,,,,,,,,,,,,,,
18579,Gm30023,Gm35975,Gm18525,,,,,,,,,,,,,,,,,,,,,,,,
18580,Gm18379,Gm29250,Gm18526,,,,,,,,,,,,,,,,,,,,,,,,
18581,Gm4865,Gm18669,Gm18528,,,,,,,,,,,,,,,,,,,,,,,,
18582,Gm11352,LOC105242693,Gm18530,,,,,,,,,,,,,,,,,,,,,,,,
18583,Gm14175,5730437C11Rik,Gm18531,,,,,,,,,,,,,,,,,,,,,,,,
18584,Gm43640,LOC102633893,Gm18534,,,,,,,,,,,,,,,,,,,,,,,,
18585,Gm16239,Serpina4-ps1,Gm18538,,,,,,,,,,,,,,,,,,,,,,,,
18586,Vmn2r-ps110,LOC105246130,Gm18540,,,,,,,,,,,,,,,,,,,,,,,,
18587,Olfr646,Gm17772,Gm18543,,,,,,,,,,,,,,,,,,,,,,,,
18588,Gm17786,Gm14056,Gm18544,,,,,,,,,,,,,,,,,,,,,,,,
18589,Gm31466,Gm15085,Gm18546,,,,,,,,,,,,,,,,,,,,,,,,
18590,Gm21016,BC147527,Gm18551,,,,,,,,,,,,,,,,,,,,,,,,
18591,Gm11426,Gm20670,Gm18552,,,,,,,,,,,,,,,,,,,,,,,,
18592,Gm13313,Pih1d3,Gm18559,,,,,,,,,,,,,,,,,,,,,,,,
18593,Gm29685,Snord98,Gm18567,,,,,,,,,,,,,,,,,,,,,,,,
18594,RP23-272F2.5,Gm6333,Gm18568,,,,,,,,,,,,,,,,,,,,,,,,
18595,Scgb1b27,Gm12873,Gm18569,,,,,,,,,,,,,,,,,,,,,,,,
18596,Hoxa3,Gm34385,Gm18571,,,,,,,,,,,,,,,,,,,,,,,,
18597,Gm3895,Gm14170,Gm18572,,,,,,,,,,,,,,,,,,,,,,,,
18598,Gm18598,Ifnb1,Gm18573,,,,,,,,,,,,,,,,,,,,,,,,
18599,Kng1,Gm21089,Gm18574,,,,,,,,,,,,,,,,,,,,,,,,
18600,Olfr939-ps1,LOC105244250,Gm18577,,,,,,,,,,,,,,,,,,,,,,,,
18601,Dnajb13,Gm17190,Gm18579,,,,,,,,,,,,,,,,,,,,,,,,
18602,Clec12b,Gm17752,Gm18587,,,,,,,,,,,,,,,,,,,,,,,,
18603,Gm43100,Gm3820,Gm18596,,,,,,,,,,,,,,,,,,,,,,,,
18604,LOC105246437,Fam170a,Gm18600,,,,,,,,,,,,,,,,,,,,,,,,
18605,9430093N23Rik,LOC102640520,Gm18602,,,,,,,,,,,,,,,,,,,,,,,,
18606,Mir7116,4930448C13Rik,Gm18607,,,,,,,,,,,,,,,,,,,,,,,,
18607,Mir7093,Gm28897,Gm18608,,,,,,,,,,,,,,,,,,,,,,,,
18608,Gm8970,Gm34889,Gm18616,,,,,,,,,,,,,,,,,,,,,,,,
18609,1700110I07Rik,Mir680-3,Gm18633,,,,,,,,,,,,,,,,,,,,,,,,
18610,Hand1,Gm5047,Gm18635,,,,,,,,,,,,,,,,,,,,,,,,
18611,Paf1,LOC105247265,Gm18638,,,,,,,,,,,,,,,,,,,,,,,,
18612,Rhox9,Btnl6,Gm18639,,,,,,,,,,,,,,,,,,,,,,,,
18613,Ear-ps3,Olfr648,Gm18640,,,,,,,,,,,,,,,,,,,,,,,,
18614,RP24-286L23.2,Gm7631,Gm18644,,,,,,,,,,,,,,,,,,,,,,,,
18615,RP24-281E22.1,Gm35076,Gm18654,,,,,,,,,,,,,,,,,,,,,,,,
18616,Gm13451,Gm5938,Gm18660,,,,,,,,,,,,,,,,,,,,,,,,
18617,Snrp1c-ps1,Gm31453,Gm18663,,,,,,,,,,,,,,,,,,,,,,,,
18618,Mir677,Ssxb1,Gm18689,,,,,,,,,,,,,,,,,,,,,,,,
18619,LOC105245848,LOC100504180,Gm18691,,,,,,,,,,,,,,,,,,,,,,,,
18620,LOC105245824,Mir3059,Gm18697,,,,,,,,,,,,,,,,,,,,,,,,
18621,Mir7656,LOC105246147,Gm18701,,,,,,,,,,,,,,,,,,,,,,,,
18622,Gm3011,Gm5964,Gm18711,,,,,,,,,,,,,,,,,,,,,,,,
18623,Gm42931,Hmx2,Gm18721,,,,,,,,,,,,,,,,,,,,,,,,
18624,Gm13323,Gm15223,Gm18727,,,,,,,,,,,,,,,,,,,,,,,,
18625,Speer8-ps1,Gm34952,Gm18745,,,,,,,,,,,,,,,,,,,,,,,,
18626,Gm29753,Ms4a5,Gm18748,,,,,,,,,,,,,,,,,,,,,,,,
18627,Serpina4-ps1,4732456N10Rik,Gm18751,,,,,,,,,,,,,,,,,,,,,,,,
18628,Mir466h,Gm6583,Gm18761,,,,,,,,,,,,,,,,,,,,,,,,
18629,Decr2,Olfr1033,Gm18766,,,,,,,,,,,,,,,,,,,,,,,,
18630,Olfr1239,Vmn1r26,Gm18768,,,,,,,,,,,,,,,,,,,,,,,,
18631,Mir6940,Cldn4,Gm18773,,,,,,,,,,,,,,,,,,,,,,,,
18632,Olfr1038-ps,LOC105245101,Gm18779,,,,,,,,,,,,,,,,,,,,,,,,
18633,Olfr735,Gm18342,Gm18781,,,,,,,,,,,,,,,,,,,,,,,,
18634,Gm6734,Sema4c,Gm18788,,,,,,,,,,,,,,,,,,,,,,,,
18635,Gm5974,Gm35163,Gm18789,,,,,,,,,,,,,,,,,,,,,,,,
18636,Gm33574,LOC102640775,Gm18799,,,,,,,,,,,,,,,,,,,,,,,,
18637,LOC105244707,Ccdc66,Gm18801,,,,,,,,,,,,,,,,,,,,,,,,
18638,Gm44205,Gm17555,Gm18802,,,,,,,,,,,,,,,,,,,,,,,,
18639,Olfr155,Gm14758,Gm18807,,,,,,,,,,,,,,,,,,,,,,,,
18640,Gm5260,Irx2,Gm18808,,,,,,,,,,,,,,,,,,,,,,,,
18641,A530032D15Rik,Gm13104,Gm18811,,,,,,,,,,,,,,,,,,,,,,,,
18642,LOC105242423,Stfa2l1,Gm18812,,,,,,,,,,,,,,,,,,,,,,,,
18643,Gm28818,Gm44006,Gm18814,,,,,,,,,,,,,,,,,,,,,,,,
18644,Gm19069,Mir19b-1,Gm18820,,,,,,,,,,,,,,,,,,,,,,,,
18645,AU015228,Serpinb6e,Gm18825,,,,,,,,,,,,,,,,,,,,,,,,
18646,Gm13155,Gm5745,Gm18826,,,,,,,,,,,,,,,,,,,,,,,,
18647,Gm6811,Gm19045,Gm18833,,,,,,,,,,,,,,,,,,,,,,,,
18648,4930578I06Rik,Gm28078,Gm18836,,,,,,,,,,,,,,,,,,,,,,,,
18649,Gm6479,Gm31829,Gm18839,,,,,,,,,,,,,,,,,,,,,,,,
18650,Gm36851,LOC105245378,Gm18844,,,,,,,,,,,,,,,,,,,,,,,,
18651,Gm13730,LOC105243476,Gm18845,,,,,,,,,,,,,,,,,,,,,,,,
18652,Gm43607,Gm20585,Gm18846,,,,,,,,,,,,,,,,,,,,,,,,
18653,1700025F22Rik,Lilra6,Gm18850,,,,,,,,,,,,,,,,,,,,,,,,
18654,Ifna2,Gm438,Gm18865,,,,,,,,,,,,,,,,,,,,,,,,
18655,Gm3774,Gm33122,Gm18866,,,,,,,,,,,,,,,,,,,,,,,,
18656,4930434O05Rik,Gm8531,Gm18871,,,,,,,,,,,,,,,,,,,,,,,,
18657,Gm34458,Gm29814,Gm18886,,,,,,,,,,,,,,,,,,,,,,,,
18658,LOC105242803,Crnn,Gm18888,,,,,,,,,,,,,,,,,,,,,,,,
18659,Dapk1,Efhd1os,Gm18895,,,,,,,,,,,,,,,,,,,,,,,,
18660,Mir6406,Gm11216,Gm18901,,,,,,,,,,,,,,,,,,,,,,,,
18661,LOC105245336,LOC100862242,Gm18906,,,,,,,,,,,,,,,,,,,,,,,,
18662,Mir5617,Mir668,Gm18918,,,,,,,,,,,,,,,,,,,,,,,,
18663,Gm35620,Dcpp1,Gm18927,,,,,,,,,,,,,,,,,,,,,,,,
18664,Gm34415,Gpx5,Gm18931,,,,,,,,,,,,,,,,,,,,,,,,
18665,Gm9913,Gm37323,Gm18945,,,,,,,,,,,,,,,,,,,,,,,,
18666,Gm14236,H2-Q10,Gm18950,,,,,,,,,,,,,,,,,,,,,,,,
18667,4833413E03Rik,Gm7674,Gm18952,,,,,,,,,,,,,,,,,,,,,,,,
18668,LOC105246179,Gm8208,Gm18962,,,,,,,,,,,,,,,,,,,,,,,,
18669,Gm29525,Lgals2,Gm18964,,,,,,,,,,,,,,,,,,,,,,,,
18670,Olfr886-ps1,Pak4,Gm18967,,,,,,,,,,,,,,,,,,,,,,,,
18671,Gm16459,Gnpda1,Gm18968,,,,,,,,,,,,,,,,,,,,,,,,
18672,D730045B01Rik,LOC105245745,Gm18971,,,,,,,,,,,,,,,,,,,,,,,,
18673,Gm7769,LOC105245408,Gm18975,,,,,,,,,,,,,,,,,,,,,,,,
18674,S100a5,Gm33720,Gm18980,,,,,,,,,,,,,,,,,,,,,,,,
18675,Gm17014,Rpl19-ps2,Gm18985,,,,,,,,,,,,,,,,,,,,,,,,
18676,Gm29829,Mir185,Gm18993,,,,,,,,,,,,,,,,,,,,,,,,
18677,Olfr222,Gm35177,Gm19009,,,,,,,,,,,,,,,,,,,,,,,,
18678,4930563I02Rik,Gm34326,Gm19011,,,,,,,,,,,,,,,,,,,,,,,,
18679,Gm8605,Enpp7,Gm19013,,,,,,,,,,,,,,,,,,,,,,,,
18680,Zfp664,LOC105247170,Gm19014,,,,,,,,,,,,,,,,,,,,,,,,
18681,LOC105243680,Gm8676,Gm19022,,,,,,,,,,,,,,,,,,,,,,,,
18682,Gm12486,Gm13063,Gm19024,,,,,,,,,,,,,,,,,,,,,,,,
18683,Gm3182,LOC100862249,Gm19030,,,,,,,,,,,,,,,,,,,,,,,,
18684,Olfr434,Gm32749,Gm19043,,,,,,,,,,,,,,,,,,,,,,,,
18685,Gm7405,Gngt1,Gm19044,,,,,,,,,,,,,,,,,,,,,,,,
18686,LOC105244665,Gm13173,Gm19050,,,,,,,,,,,,,,,,,,,,,,,,
18687,Gm19254,Gm9701,Gm19055,,,,,,,,,,,,,,,,,,,,,,,,
18688,Gm32055,Gm31947,Gm19057,,,,,,,,,,,,,,,,,,,,,,,,
18689,Gm32531,Mir3058,Gm19060,,,,,,,,,,,,,,,,,,,,,,,,
18690,Gm18079,Gm18216,Gm19071,,,,,,,,,,,,,,,,,,,,,,,,
18691,Gm14253,Fgf21,Gm19074,,,,,,,,,,,,,,,,,,,,,,,,
18692,2810433D01Rik,Gm14095,Gm19081,,,,,,,,,,,,,,,,,,,,,,,,
18693,Gm5648,LOC105242435,Gm19082,,,,,,,,,,,,,,,,,,,,,,,,
18694,Gm36102,Gm9373,Gm19088,,,,,,,,,,,,,,,,,,,,,,,,
18695,Gm37855,4930425K10Rik,Gm19094,,,,,,,,,,,,,,,,,,,,,,,,
18696,Gm35231,Gm32105,Gm19099,,,,,,,,,,,,,,,,,,,,,,,,
18697,Gm17046,Gm7002,Gm19102,,,,,,,,,,,,,,,,,,,,,,,,
18698,LOC105242675,Gm15534,Gm19105,,,,,,,,,,,,,,,,,,,,,,,,
18699,Gm35667,Gm18433,Gm19111,,,,,,,,,,,,,,,,,,,,,,,,
18700,Rpl30-ps11,Gm12479,Gm19112,,,,,,,,,,,,,,,,,,,,,,,,
18701,Gm11545,Gm29947,Gm19116,,,,,,,,,,,,,,,,,,,,,,,,
18702,Gm10944,Slc39a4,Gm19118,,,,,,,,,,,,,,,,,,,,,,,,
18703,Gm2203,1700028D13Rik,Gm19119,,,,,,,,,,,,,,,,,,,,,,,,
18704,Gm14997,Olfr770,Gm19122,,,,,,,,,,,,,,,,,,,,,,,,
18705,Gm30255,Gm18562,Gm19123,,,,,,,,,,,,,,,,,,,,,,,,
18706,Gm36107,Mpo,Gm19126,,,,,,,,,,,,,,,,,,,,,,,,
18707,Gm20018,Olfr1140,Gm19129,,,,,,,,,,,,,,,,,,,,,,,,
18708,Gm12378,Nova2,Gm19131,,,,,,,,,,,,,,,,,,,,,,,,
18709,Gm14065,Gm17093,Gm19132,,,,,,,,,,,,,,,,,,,,,,,,
18710,Gm9516,Gm19956,Gm19151,,,,,,,,,,,,,,,,,,,,,,,,
18711,Gm35360,Gm8978,Gm19153,,,,,,,,,,,,,,,,,,,,,,,,
18712,Gm31037,Sdr16c6,Gm19156,,,,,,,,,,,,,,,,,,,,,,,,
18713,Crygb,Rpl7a-ps8,Gm19157,,,,,,,,,,,,,,,,,,,,,,,,
18714,Gm5639,Krt72,Gm19158,,,,,,,,,,,,,,,,,,,,,,,,
18715,Gm21149,Gm12434,Gm19162,,,,,,,,,,,,,,,,,,,,,,,,
18716,LOC105246163,LOC105247146,Gm19171,,,,,,,,,,,,,,,,,,,,,,,,
18717,Gm34084,Gm17972,Gm19172,,,,,,,,,,,,,,,,,,,,,,,,
18718,LOC105247233,Gm7856,Gm19173,,,,,,,,,,,,,,,,,,,,,,,,
18719,Rpl23a-ps6,Gm31265,Gm19182,,,,,,,,,,,,,,,,,,,,,,,,
18720,Gm2645,Dnmt3a-ps1,Gm19184,,,,,,,,,,,,,,,,,,,,,,,,
18721,Gm17904,Gm42838,Gm19190,,,,,,,,,,,,,,,,,,,,,,,,
18722,LOC105244486,Platr30,Gm19207,,,,,,,,,,,,,,,,,,,,,,,,
18723,Gm18997,Olfr976,Gm19210,,,,,,,,,,,,,,,,,,,,,,,,
18724,Gm10732,Lcn9,Gm19218,,,,,,,,,,,,,,,,,,,,,,,,
18725,Gm5671,Gm5209,Gm19220,,,,,,,,,,,,,,,,,,,,,,,,
18726,Gm7151,LOC105246343,Gm19225,,,,,,,,,,,,,,,,,,,,,,,,
18727,Gm33024,Gm32176,Gm19227,,,,,,,,,,,,,,,,,,,,,,,,
18728,LOC105242975,Gm34024,Gm19233,,,,,,,,,,,,,,,,,,,,,,,,
18729,1700001J11Rik,LOC105245430,Gm19235,,,,,,,,,,,,,,,,,,,,,,,,
18730,Snord123,Gm2965,Gm19306,,,,,,,,,,,,,,,,,,,,,,,,
18731,Gm18151,Rft1,Gm19470,,,,,,,,,,,,,,,,,,,,,,,,
18732,Gm12570,LOC105243893,Gm19484,,,,,,,,,,,,,,,,,,,,,,,,
18733,4930474N09Rik,Homez,Gm19501,,,,,,,,,,,,,,,,,,,,,,,,
18734,LOC105247134,Gm18584,Gm19535,,,,,,,,,,,,,,,,,,,,,,,,
18735,Gm16223,Tchhl1,Gm19612,,,,,,,,,,,,,,,,,,,,,,,,
18736,Mir3087,Vmn1r-ps19,Gm19663,,,,,,,,,,,,,,,,,,,,,,,,
18737,Gm14600,LOC105244058,Gm19674,,,,,,,,,,,,,,,,,,,,,,,,
18738,Il1f9,Gm32875,Gm19764,,,,,,,,,,,,,,,,,,,,,,,,
18739,Gm12579,Ppm1n,Gm19784,,,,,,,,,,,,,,,,,,,,,,,,
18740,Gm2231,Gm7274,Gm1982,,,,,,,,,,,,,,,,,,,,,,,,
18741,Gm14129,4930548G14Rik,Gm19867,,,,,,,,,,,,,,,,,,,,,,,,
18742,Gm13294,Hist1h1d,Gm1988,,,,,,,,,,,,,,,,,,,,,,,,
18743,Gm28076,Zc3hc1,Gm1989,,,,,,,,,,,,,,,,,,,,,,,,
18744,Btnl2,Supt4a,Gm19900,,,,,,,,,,,,,,,,,,,,,,,,
18745,Gm9771,Mir1188,Gm19917,,,,,,,,,,,,,,,,,,,,,,,,
18746,LOC105246226,Gm9292,Gm19987,,,,,,,,,,,,,,,,,,,,,,,,
18747,Gm19255,Gm5038,Gm2003,,,,,,,,,,,,,,,,,,,,,,,,
18748,Mir1981,C330004P14Rik,Gm20049,,,,,,,,,,,,,,,,,,,,,,,,
18749,Gm7988,Vmn2r-ps12,Gm2005,,,,,,,,,,,,,,,,,,,,,,,,
18750,Gm9736,4921508D12Rik,Gm20104,,,,,,,,,,,,,,,,,,,,,,,,
18751,Fat2,Gm17908,Gm20199,,,,,,,,,,,,,,,,,,,,,,,,
18752,LOC105242703,Ly6g,Gm20287,,,,,,,,,,,,,,,,,,,,,,,,
18753,LOC105245370,Spag1,Gm20345,,,,,,,,,,,,,,,,,,,,,,,,
18754,LOC105243837,LOC105244496,Gm20551,,,,,,,,,,,,,,,,,,,,,,,,
18755,Gm5641,RP23-225M4.1,Gm2071,,,,,,,,,,,,,,,,,,,,,,,,
18756,Gm18857,Olfr1317,Gm20739,,,,,,,,,,,,,,,,,,,,,,,,
18757,Gm28640,Gm38246,Gm20740,,,,,,,,,,,,,,,,,,,,,,,,
18758,Olfr669,Gm15073,Gm20741,,,,,,,,,,,,,,,,,,,,,,,,
18759,Gm18407,Gm7892,Gm20759,,,,,,,,,,,,,,,,,,,,,,,,
18760,Gm29887,Gm18774,Gm20780,,,,,,,,,,,,,,,,,,,,,,,,
18761,Gm13502,LOC102640586,Gm20781,,,,,,,,,,,,,,,,,,,,,,,,
18762,Olfr1375-ps1,LOC105246090,Gm20793,,,,,,,,,,,,,,,,,,,,,,,,
18763,Gm7047,Gm15114,Gm20794,,,,,,,,,,,,,,,,,,,,,,,,
18764,Gm5357,Pth,Gm2080,,,,,,,,,,,,,,,,,,,,,,,,
18765,1700020D12Rik,Secisbp2,Gm20827,,,,,,,,,,,,,,,,,,,,,,,,
18766,LOC105246580,Gm15304,Gm20832,,,,,,,,,,,,,,,,,,,,,,,,
18767,Gm29992,F730311O21Rik,Gm20833,,,,,,,,,,,,,,,,,,,,,,,,
18768,Samt1,Gm10096,Gm20836,,,,,,,,,,,,,,,,,,,,,,,,
18769,1700113B09Rik,Gm7727,Gm20842,,,,,,,,,,,,,,,,,,,,,,,,
18770,Olfr221,LOC105244412,Gm20851,,,,,,,,,,,,,,,,,,,,,,,,
18771,Saxo1os,Lcn3,Gm20857,,,,,,,,,,,,,,,,,,,,,,,,
18772,Gm19180,Gm29323,Gm20858,,,,,,,,,,,,,,,,,,,,,,,,
18773,Gm17911,LOC102639453,Gm20868,,,,,,,,,,,,,,,,,,,,,,,,
18774,Gm11500,Gm4290,Gm20871,,,,,,,,,,,,,,,,,,,,,,,,
18775,Gm36078,Gm5854,Gm20879,,,,,,,,,,,,,,,,,,,,,,,,
18776,Cts8-ps,Gm20395,Gm20898,,,,,,,,,,,,,,,,,,,,,,,,
18777,Tex16,Gm15294,Gm20901,,,,,,,,,,,,,,,,,,,,,,,,
18778,Gm32683,Olfr117,Gm20907,,,,,,,,,,,,,,,,,,,,,,,,
18779,Mir5133,LOC105245691,Gm20910,,,,,,,,,,,,,,,,,,,,,,,,
18780,LOC102632442,Gm20441,Gm2092,,,,,,,,,,,,,,,,,,,,,,,,
18781,Gm35282,Cpa1,Gm20921,,,,,,,,,,,,,,,,,,,,,,,,
18782,Krtap8-1,Gm5793,Gm20928,,,,,,,,,,,,,,,,,,,,,,,,
18783,Spin2-ps3,Gm21958,Gm20934,,,,,,,,,,,,,,,,,,,,,,,,
18784,LOC105245844,Prss21,Gm20941,,,,,,,,,,,,,,,,,,,,,,,,
18785,Gm5656,Olfr412,Gm20950,,,,,,,,,,,,,,,,,,,,,,,,
18786,LOC101055748,Gm29741,Gm21008,,,,,,,,,,,,,,,,,,,,,,,,
18787,Rax,4930556L07Rik,Gm21012,,,,,,,,,,,,,,,,,,,,,,,,
18788,Gm36333,Gm6668,Gm21019,,,,,,,,,,,,,,,,,,,,,,,,
18789,Gm7210,Gm13553,Gm21022,,,,,,,,,,,,,,,,,,,,,,,,
18790,LOC105244327,Izumo1r,Gm21025,,,,,,,,,,,,,,,,,,,,,,,,
